Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 100 | Batch: 64 | Params: 18177 | Rollout time: 0.0188 +- 0.0002 s | Peak VRAM: 8.35 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 200 | Batch: 64 | Params: 18177 | Rollout time: 0.0363 +- 0.0007 s | Peak VRAM: 8.35 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 300 | Batch: 64 | Params: 18177 | Rollout time: 0.0534 +- 0.0006 s | Peak VRAM: 8.35 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 400 | Batch: 64 | Params: 18177 | Rollout time: 0.0689 +- 0.0033 s | Peak VRAM: 8.35 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 500 | Batch: 64 | Params: 18177 | Rollout time: 0.0877 +- 0.0011 s | Peak VRAM: 8.35 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 600 | Batch: 64 | Params: 18177 | Rollout time: 0.1059 +- 0.0057 s | Peak VRAM: 8.35 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 700 | Batch: 64 | Params: 18177 | Rollout time: 0.1209 +- 0.0010 s | Peak VRAM: 8.35 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 800 | Batch: 64 | Params: 18177 | Rollout time: 0.1374 +- 0.0038 s | Peak VRAM: 8.35 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 900 | Batch: 64 | Params: 18177 | Rollout time: 0.1579 +- 0.0024 s | Peak VRAM: 8.35 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 1000 | Batch: 64 | Params: 18177 | Rollout time: 0.1765 +- 0.0069 s | Peak VRAM: 8.35 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 100 | Batch: 64 | Params: 133632 | Rollout time: 0.0211 +- 0.0006 s | Peak VRAM: 18.26 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 200 | Batch: 64 | Params: 133632 | Rollout time: 0.0415 +- 0.0012 s | Peak VRAM: 18.26 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 300 | Batch: 64 | Params: 133632 | Rollout time: 0.0640 +- 0.0018 s | Peak VRAM: 18.26 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 400 | Batch: 64 | Params: 133632 | Rollout time: 0.0823 +- 0.0010 s | Peak VRAM: 18.26 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 500 | Batch: 64 | Params: 133632 | Rollout time: 0.1002 +- 0.0019 s | Peak VRAM: 18.26 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 600 | Batch: 64 | Params: 133632 | Rollout time: 0.1203 +- 0.0011 s | Peak VRAM: 18.26 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 700 | Batch: 64 | Params: 133632 | Rollout time: 0.1419 +- 0.0050 s | Peak VRAM: 18.26 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 800 | Batch: 64 | Params: 133632 | Rollout time: 0.1641 +- 0.0018 s | Peak VRAM: 18.26 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 900 | Batch: 64 | Params: 133632 | Rollout time: 0.1802 +- 0.0015 s | Peak VRAM: 18.26 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 1000 | Batch: 64 | Params: 133632 | Rollout time: 0.1981 +- 0.0019 s | Peak VRAM: 18.26 +- 0.00 MB
Model: gpt | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 100 | Batch: 64 | Params: 200064 | Rollout time: 0.0484 +- 0.0014 s | Peak VRAM: 30.83 +- 0.00 MB
Model: gpt | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 200 | Batch: 64 | Params: 200064 | Rollout time: 0.0979 +- 0.0027 s | Peak VRAM: 52.78 +- 0.00 MB
Model: gpt | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 300 | Batch: 64 | Params: 200064 | Rollout time: 0.1450 +- 0.0015 s | Peak VRAM: 74.75 +- 0.00 MB
Model: gpt | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 400 | Batch: 64 | Params: 200064 | Rollout time: 0.1924 +- 0.0017 s | Peak VRAM: 97.74 +- 0.00 MB
Model: gpt | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 500 | Batch: 64 | Params: 200064 | Rollout time: 0.2432 +- 0.0084 s | Peak VRAM: 120.72 +- 0.00 MB
Model: gpt | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 600 | Batch: 64 | Params: 200064 | Rollout time: 0.2945 +- 0.0040 s | Peak VRAM: 141.84 +- 0.00 MB
Model: gpt | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 700 | Batch: 64 | Params: 200064 | Rollout time: 0.3421 +- 0.0047 s | Peak VRAM: 163.67 +- 0.00 MB
Model: gpt | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 800 | Batch: 64 | Params: 200064 | Rollout time: 0.4172 +- 0.0013 s | Peak VRAM: 185.96 +- 0.00 MB
Model: gpt | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 900 | Batch: 64 | Params: 200064 | Rollout time: 0.4559 +- 0.0071 s | Peak VRAM: 206.98 +- 0.00 MB
Model: gpt | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 1000 | Batch: 64 | Params: 200064 | Rollout time: 0.5248 +- 0.0023 s | Peak VRAM: 230.62 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 100 | Batch: 64 | Params: 100608 | Rollout time: 0.0299 +- 0.0007 s | Peak VRAM: 17.69 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 200 | Batch: 64 | Params: 100608 | Rollout time: 0.0588 +- 0.0010 s | Peak VRAM: 17.69 +- 0.00 MB
Model: splagger | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 300 | Batch: 64 | Params: 100608 | Rollout time: 0.0868 +- 0.0015 s | Peak VRAM: 17.69 +- 0.00 MB
