Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 100 | Batch: 64 | Params: 18177 | Update time: 0.0016 +- 0.0001 s | Peak VRAM: 38.67 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 200 | Batch: 64 | Params: 18177 | Update time: 0.0016 +- 0.0000 s | Peak VRAM: 61.79 +- 0.02 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 300 | Batch: 64 | Params: 18177 | Update time: 0.0016 +- 0.0000 s | Peak VRAM: 83.37 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 400 | Batch: 64 | Params: 18177 | Update time: 0.0017 +- 0.0001 s | Peak VRAM: 105.87 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 500 | Batch: 64 | Params: 18177 | Update time: 0.0017 +- 0.0001 s | Peak VRAM: 129.28 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 600 | Batch: 64 | Params: 18177 | Update time: 0.0019 +- 0.0001 s | Peak VRAM: 149.63 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 700 | Batch: 64 | Params: 18177 | Update time: 0.0019 +- 0.0001 s | Peak VRAM: 173.42 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 800 | Batch: 64 | Params: 18177 | Update time: 0.0019 +- 0.0001 s | Peak VRAM: 199.92 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 900 | Batch: 64 | Params: 18177 | Update time: 0.0021 +- 0.0000 s | Peak VRAM: 216.22 +- 0.00 MB
Model: mate | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 1000 | Batch: 64 | Params: 18177 | Update time: 0.0023 +- 0.0000 s | Peak VRAM: 242.81 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 100 | Batch: 64 | Params: 133632 | Update time: 0.0018 +- 0.0001 s | Peak VRAM: 130.91 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 200 | Batch: 64 | Params: 133632 | Update time: 0.0022 +- 0.0000 s | Peak VRAM: 232.74 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 300 | Batch: 64 | Params: 133632 | Update time: 0.0028 +- 0.0001 s | Peak VRAM: 335.04 +- 0.00 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 400 | Batch: 64 | Params: 133632 | Update time: 0.0035 +- 0.0000 s | Peak VRAM: 437.43 +- 0.09 MB
Model: lstm | Hidden: 128 | Layer: 1 | Trans: 11 | Seq: 500 | Batch: 64 | Params: 133632 | Update time: 0.0042 +- 0.0001 s | Peak VRAM: 539.55 +- 0.00 MB
